product_id,Product Name,Actual Avg Weekly Sales,Prophet MAE,Prophet MAPE (%),Prophet Forecast (1w),Prophet Forecast (2w),SARIMAX MAE,SARIMAX MAPE (%),SARIMAX Forecast (1w),SARIMAX Forecast (2w)
11ef9fa9e84a315282770acdfb026a8f,Crown Lager Bottle 375mL,36.39,54.37,8658.5,-51.76,-104.49,13.01,3216.55,6.63,18.97
11ef9fa9e84a1dfcb2e40acdfb026a8f,Carlton Pure Blonde Can 375Ml,113.93,132.91,119.46,-9.87,-19.77,80.71,170.97,127.75,254.04
11ef9fa9e8c4d84499e40acdfb026a8f,Plastic Bag,0.18,0.11,454.19,0.11,0.23,0.43,1861.47,0.26,0.42
11ef9fa9e8f789d8a0660acdfb026a8f,Cruiser Double Vanilla Cola 6.8% Can 375Ml,3.38,0.74,1435.27,0.5,1.02,3.02,4203.35,2.32,5.06
11ef9fa9e8f76f7abd0a0acdfb026a8f,3099 Garlic Jerky 50G,13.73,15.14,634.36,-11.04,-22.27,4.73,409.21,7.91,16.58
11ef9fa9e8617880ae970acdfb026a8f,Wild Boar Bourbon 15% 375Ml Can 24Pk,11.89,0.87,18.68,3.48,7.05,10.2,209.74,14.47,29.33
11ef9fa9e8b17042b89a0acdfb026a8f,Divas Retro Ruby Raspberry Bt 330Ml,0.05,0.83,1.71980376128767e+16,0.11,0.24,0.86,3.2378238046118464e+16,-0.04,0.15
11ef9fa9e8612b148d1d0acdfb026a8f,Winfield 30S Optimum Crush Blue 6Pk,2.28,3.01,103.26,0.27,0.57,0.77,26.7,3.19,5.87
11ef9fa9e8bb4b9eafae0acdfb026a8f,Victoria Bitter Bt 250Ml,168.58,167.41,160.7,-41.94,-84.45,95.9,217.95,126.81,288.95
11ef9fa9e8610a808a8c0acdfb026a8f,Jim Beam White & Cola 4.8% 375Ml Can 3x10Pk,37.0,17.45,176.08,-9.88,-19.9,19.46,573.2,18.4,60.13
11ef9fa9e8610cba8b830acdfb026a8f,Woodstock & Cola 4.8% 375ml Can 3x10pk,15.42,18.84,360.07,-5.55,-11.19,14.78,644.85,6.79,20.04
11ef9fa9e84a2cac890b0acdfb026a8f,Corona Brown Extra Bottle 355ml 24pk,309.6,97.66,98.78,2.1,4.71,187.78,560.73,222.95,453.29
11ef9fa9e8c4d5d8a4000acdfb026a8f,Victoria Bitter Can 500Ml,13.46,46.72,8293.18,-40.36,-83.68,4.72,358.57,-4.84,-14.28
11ef9fa9e86117b4a7720acdfb026a8f,Tally Ho Paper 50S,0.08,0.12,152.45,-0.04,-0.07,0.02,26.21,0.06,0.14
11ef9fa9e8572c2ca0340acdfb026a8f,Ice 5Kg Bag,183.76,351.4,2961.63,-278.34,-561.89,108.22,1937.94,142.06,263.58
11ef9fa9e8f7ec02a2320acdfb026a8f,Waitoa Aotearoa Hazy Ipa 440Ml Can,2.73,11.48,412.67,1.37,3.15,1.6,58.33,3.58,10.54
