inventory.outlet_id,Outlet Name,Short Outlet Name,Holding Threshold
11efb0234cfc4de09fbd0ae2611d356d,Bottlemart Armstrong Creek,ASC,150000
11efb0234cfc4d8684ab0ae2611d356d,Harry Brown Braybrook,BRB,220000
11ef9fa9e25c665cbb790acdfb026a8f,The Bottle-O St Albans,BTO,380000
11f091f52dd2e096a5130692524b7ecb,Bottlemart Charlemont Rise,CLMR,150000
11f008521fd26e80a3ae025d1881b26f,Bottle O Endeavour Hills,EDH,
11ef9fa9e25c672ebe7b0acdfb026a8f,Bottlemart Maribyrnong,EWT,220000
11f008521fe6376cbcf0025d1881b26f,Harry Brown Ferntree Gully,HBFG,350000
11efb0234cfc4d22a3810ae2611d356d,Bottlemart Lara,LARA,300000
11efb0234cfc3f6c95fb0ae2611d356d,Liquor West,LW,10000000
11efb0234cfc4cc8ab140ae2611d356d,Bottlemart Ravenhall,RVH,165000
