uuid,client_id,first_name,last_name,code,company,business_number,birthday,gender,allow_marketing_emails,billing_contact_id,delivery_contact_id,invoice_message,comments,loyalty,loyalty_rate,loyalty_points,disable_promotions,require_order_reference,account_limit,current_owing,override_customer_group,merged_into,created_at,updated_at,billing_uuid,billing_address_street_1,billing_address_street_2,billing_address_suburb,billing_address_city,billing_address_postcode,billing_address_state,billing_address_country,billing_email,billing_fax,billing_phone,billing_mobile,billing_website,billing_twitter,billing_facebook,delivery_uuid,delivery_address_street_1,delivery_address_street_2,delivery_address_suburb,delivery_address_city,delivery_address_postcode,delivery_address_state,delivery_address_country,delivery_email,delivery_fax,delivery_phone,delivery_mobile,delivery_website,delivery_twitter,delivery_facebook,last_purchase_date,customer_group,customer_group_name,pricelist_uuid,pricelist_name
11ef9fa9f6f1e98e879f0acdfb026a8f,,"Mill Park Lake Cellars",,0426108098,,,,,,11ef9fa9e77eff289dba0acdfb026a8f,11ef9fa9e7efe490959a0acdfb026a8f,,,FALSE,0,0,FALSE,FALSE,16000,5674.25,TRUE,,2024-11-10T21:23:01.000000Z,2025-10-06T01:43:38.000000Z,11ef9fa9e77eff289dba0acdfb026a8f,"Shop 1/1 The Promenade"," ","South Morang",,3752,VIC,,targettdw@gmail.com,,,0401713865,,,,11ef9fa9e7efe490959a0acdfb026a8f,," ",,,,,,,,,0401713865,,,,"2025-10-05 03:06:04",11ef9fa9f6ee6aa285990acdfb026a8f,W2R,,
11ef9fa9f6f1eb5aaba80acdfb026a8f,,,"Humpclub Template",021,,,,,,11ef9fa9e77f02acbed20acdfb026a8f,11ef9fa9e7efe85095590acdfb026a8f,,,FALSE,0,0,FALSE,0,,0,FALSE,,2024-11-10T21:23:01.000000Z,2024-11-12T20:38:58.000000Z,11ef9fa9e77f02acbed20acdfb026a8f,," ",,,,,,,,,,,,,11ef9fa9e7efe85095590acdfb026a8f,," ",,,,,,,,,,,,,,11ef9fa9f6ee6b24ae120acdfb026a8f,"Thirsty Camel Braybrook",,
11ef9fa9f6f1ebdc99650acdfb026a8f,,,"Humpclub Template",0426108099,,,,,,11ef9fa9e77f03c49d950acdfb026a8f,11ef9fa9e7efe954838c0acdfb026a8f,,,FALSE,0,0,FALSE,0,,0,FALSE,,2024-11-10T21:23:01.000000Z,2024-11-12T20:38:58.000000Z,11ef9fa9e77f03c49d950acdfb026a8f,," ",,,,,,,,,,,,,11ef9fa9e7efe954838c0acdfb026a8f,," ",,,,,,,,,,,,,,11ef9fa9f6ee6b9291af0acdfb026a8f,"Thirsty Camel Maribyrnong",,
11ef9fa9f6f1ecaeb93d0acdfb026a8f,,"Hump Club Member:",0449255972,0449255972,,,,,,11ef9fa9e7b9727a9e430acdfb026a8f,11ef9fa9e82a6318a02e0acdfb026a8f,,,TRUE,0,0,FALSE,0,,0,FALSE,,2024-11-10T21:23:01.000000Z,2024-11-12T20:38:58.000000Z,11ef9fa9e7b9727a9e430acdfb026a8f,," ",,,,,,,,,,,,,11ef9fa9e82a6318a02e0acdfb026a8f,," ",,,,,,,,,,,,,,11ef9fa9f6ee6cbe91270acdfb026a8f,Retail,,
11ef9fa9f6f1ef2e8d600acdfb026a8f,,"Hump Club Member:",0400140923,0400140923,,,,,,11ef9fa9e77f162a89430acdfb026a8f,11ef9fa9e7effa3e81290acdfb026a8f,,,FALSE,0,0,FALSE,0,,0,FALSE,,2024-11-10T21:23:01.000000Z,2024-11-12T20:38:58.000000Z,11ef9fa9e77f162a89430acdfb026a8f,," ",,,,,,,,,,,,,11ef9fa9e7effa3e81290acdfb026a8f,," ",,,,,,,,,,,,,,11ef9fa9f6ee6b9291af0acdfb026a8f,"Thirsty Camel Maribyrnong",,
11ef9fa9f6f1f096ad400acdfb026a8f,,"Mernda Cellars",,0426108113,,,,,,11ef9fa9e77f18b4bc080acdfb026a8f,11ef9fa9e7effd4aba510acdfb026a8f,,,FALSE,0,0,FALSE,FALSE,35000,7479.5,TRUE,,2024-11-10T21:23:01.000000Z,2025-10-09T00:56:30.000000Z,11ef9fa9e77f18b4bc080acdfb026a8f,"5/40 Breadalbane Ave"," ",Mernda,,3754,VIC,,firewaterliquor@live.com.au,,0414310075,0414310075,,,,11ef9fa9e7effd4aba510acdfb026a8f,," ",,,,,,,,,0414310075,,,,"2025-10-05 22:52:54",11ef9fa9f6ee6aa285990acdfb026a8f,W2R,,
11ef9fa9f6f1f0f0b0660acdfb026a8f,,"Doreen Liquor Zone",,0426108114,,,,,,11ef9fa9e77f19189c450acdfb026a8f,11ef9fa9e7effda481aa0acdfb026a8f,,,FALSE,0,0,FALSE,FALSE,30000,21719.5,TRUE,,2024-11-10T21:23:01.000000Z,2025-10-05T05:25:13.000000Z,11ef9fa9e77f19189c450acdfb026a8f,"11/121 Elation Blvd"," ",,,3754,Doreen,Australia,,,,0488058381,,,,11ef9fa9e7effda481aa0acdfb026a8f,," ",,,,,,,,,0488058381,,,,"2025-10-05 05:25:13",11ef9fa9f6ee6aa285990acdfb026a8f,W2R,,
11ef9fa9f6f1f154969a0acdfb026a8f,,"Roxburgh Park Hotel",,0423312052,,,,,,11ef9fa9e77f197294270acdfb026a8f,11ef9fa9e7effdf4b8ef0acdfb026a8f,,,FALSE,0,0,FALSE,FALSE,20000,18387,TRUE,,2024-11-10T21:23:01.000000Z,2025-10-05T23:33:37.000000Z,11ef9fa9e77f197294270acdfb026a8f,"225 Somerton Rd"," ",Coolaroo,,3048,VIC,,,,,0423312052,,,,11ef9fa9e7effdf4b8ef0acdfb026a8f,"225 Somerton Rd"," ",Coolaroo,,3048,VIC,,,,,0418101271,,,,"2025-10-05 23:33:37",11ef9fa9f6ee6aa285990acdfb026a8f,W2R,,
11ef9fa9f6f1f1aebb8b0acdfb026a8f,,"Diamond Creek Hotel",,0426108116,,,,,,11ef9fa9e77f19d686940acdfb026a8f,11ef9fa9e7effe4e9cfa0acdfb026a8f,,,FALSE,0,0,FALSE,FALSE,40000,29912.43,TRUE,,2024-11-10T21:23:01.000000Z,2025-10-06T01:40:22.000000Z,11ef9fa9e77f19d686940acdfb026a8f,"29 Main Hurstbridge Rd"," ","Diamond Creek",,3089,VIC,,,,,0412904500,,,,11ef9fa9e7effe4e9cfa0acdfb026a8f,," ",,,,,,,,,0412904500,,,,"2025-10-05 04:06:42",11ef9fa9f6ee6aa285990acdfb026a8f,W2R,,
11ef9fa9f6f1f208926a0acdfb026a8f,,"Nillumbik Cellars",,0426108117,,,,,,11ef9fa9e77f1a308fa80acdfb026a8f,11ef9fa9e7effea8bc6c0acdfb026a8f,,,FALSE,0,0,FALSE,FALSE,20000,7010,TRUE,,2024-11-10T21:23:01.000000Z,2025-10-05T23:42:27.000000Z,11ef9fa9e77f1a308fa80acdfb026a8f,"11 Chute St"," ","Diamond Creek",,3089,VIC,Australia,,,,0407438540,,,,11ef9fa9e7effea8bc6c0acdfb026a8f,," ",,,,,,,,,0407438540,,,,"2025-10-05 23:42:26",11ef9fa9f6ee6aa285990acdfb026a8f,W2R,,
11ef9fa9f6f1f26282160acdfb026a8f,,"Nillumbik COD",,0426108118,,,,,,11ef9fa9e783c738b3c80acdfb026a8f,11ef9fa9e7efff02bb2d0acdfb026a8f,,,FALSE,0,0,FALSE,FALSE,100000,0,TRUE,,2024-11-10T21:23:01.000000Z,2025-08-12T08:55:07.000000Z,11ef9fa9e783c738b3c80acdfb026a8f,," ",,,,,,,,,,,,,11ef9fa9e7efff02bb2d0acdfb026a8f,," ",,,,,,,,,,,,,"2025-08-11 02:06:33",11ef9fa9f6ee6bf692fd0acdfb026a8f,"W2R Cash",,
