product_id,Product Name,Actual Avg Weekly Sales,Prophet MAE,Prophet MAPE (%),Prophet Forecast (1w),Prophet Forecast (2w),SARIMAX MAE,SARIMAX MAPE (%),SARIMAX Forecast (1w),SARIMAX Forecast (2w)
11ef9fa9e84a315282770acdfb026a8f,Crown Lager Bottle 375mL,37.4,50.95,5121.36,-51.36,-103.73,12.26,938.67,13.93,18.91
11ef9fa9e84a1dfcb2e40acdfb026a8f,Carlton Pure Blonde Can 375Ml,110.65,107.27,138.96,-30.19,-60.85,67.04,120.39,78.76,187.69
11ef9fa9e8c4d84499e40acdfb026a8f,Plastic Bag,0.36,0.11,160.33,0.02,0.05,0.06,212.58,0.15,0.34
11ef9fa9e8f789d8a0660acdfb026a8f,Cruiser Double Vanilla Cola 6.8% Can 375Ml,3.54,1.66,258.64,1.5,3.04,4.16,617.91,4.96,9.7
11ef9fa9e8f76f7abd0a0acdfb026a8f,3099 Garlic Jerky 50G,14.33,13.16,316.28,-8.81,-17.79,4.84,238.7,10.56,19.44
11ef9fa9e8617880ae970acdfb026a8f,Wild Boar Bourbon 15% 375Ml Can 24Pk,12.02,6.76,56.42,4.79,9.7,7.6,151.57,16.24,31.77
11ef9fa9e8b17042b89a0acdfb026a8f,Divas Retro Ruby Raspberry Bt 330Ml,0.05,0.75,7452349975934842.0,0.06,0.12,0.75,1.7034080554684694e+16,-0.08,0.02
11ef9fa9e8612b148d1d0acdfb026a8f,Winfield 30S Optimum Crush Blue 6Pk,2.28,3.01,103.26,0.27,0.57,0.77,26.7,3.19,5.87
11ef9fa9e8bb4b9eafae0acdfb026a8f,Victoria Bitter Bt 250Ml,168.49,108.47,184.34,-53.49,-107.8,110.28,420.1,46.06,89.76
11ef9fa9e8610a808a8c0acdfb026a8f,Jim Beam White & Cola 4.8% 375Ml Can 3x10Pk,37.22,22.96,190.75,-9.32,-18.78,12.54,465.6,38.48,65.72
11ef9fa9e8610cba8b830acdfb026a8f,Woodstock & Cola 4.8% 375ml Can 3x10pk,15.37,10.0,451.29,-6.5,-13.12,9.62,863.04,11.12,19.2
11ef9fa9e84a2cac890b0acdfb026a8f,Corona Brown Extra Bottle 355ml 24pk,314.81,86.71,43.48,39.5,80.34,206.28,225.31,259.69,549.31
11ef9fa9e8c4d5d8a4000acdfb026a8f,Victoria Bitter Can 500Ml,13.51,46.79,8305.53,-40.41,-83.77,4.7,355.92,-4.68,-14.05
11ef9fa9e86117b4a7720acdfb026a8f,Tally Ho Paper 50S,0.08,0.09,180.2,-0.04,-0.09,0.01,22.16,0.07,0.13
11ef9fa9e8572c2ca0340acdfb026a8f,Ice 5Kg Bag,185.09,381.32,4079.61,-306.2,-618.61,75.62,1481.49,94.4,196.6
11ef9fa9e8f7ec02a2320acdfb026a8f,Waitoa Aotearoa Hazy Ipa 440Ml Can,2.73,11.48,412.67,1.37,3.15,1.6,58.33,3.58,10.54
11ef9fa9e8ed6502a4c20acdfb026a8f,Lion Strong 8.8% Can 500Ml,0.12,1.25,2.3440826394811148e+16,0.14,0.28,1.28,5.8392683579442216e+16,-0.1,0.13
