Order_Number,Supplier,Order_Date,Received_At,items_received,total_cost,freight,payment_fees
"""94319731 + 94319732""",Lion Beer Spirits & Wine Pty Ltd,2025-10-17,NULL,30240,55591.20,0.00,0.00
17388,Australian Liquor Market (ALM),2025-10-17,NULL,612,415.27,0.00,0.00
17389,Australian Liquor Market (ALM),2025-10-17,NULL,420,1821.52,0.00,0.00
17408,Australian Liquor Market (ALM),2025-10-17,NULL,372,1117.39,0.00,0.00
17467,Australian Liquor Market (ALM),2025-10-17,NULL,390,1209.45,0.00,0.00
17634,Australian Liquor Market (ALM),2025-10-17,NULL,1709,9011.87,0.00,0.00
30379,Buller Wines Pty Ltd,2025-10-17,NULL,144,1321.09,0.00,0.00
7508023484,HB CUB,2025-10-17,NULL,8160,17804.31,0.00,0.00
7508023485,Bto Cub,2025-10-17,NULL,14040,26991.90,0.00,0.00
94319731 + 94319732,Lion Beer Spirits & Wine Pty Ltd,2025-10-17,NULL,10080,18135.60,0.00,0.00
offset cash,Nicholas Cash,2025-10-17,NULL,2,8900.00,0.00,0.00
0013 p2,Sunny Trading,2025-10-16,NULL,3912,9586.00,0.00,0.00
13454,Australian Liquor Market (ALM),2025-10-16,NULL,66,0.12,0.00,0.00
13461,Australian Liquor Market (ALM),2025-10-16,NULL,117,4778.46,0.00,0.00
15691,Australian Liquor Market (ALM),2025-10-16,NULL,288,3731.24,0.00,0.00
15692,Australian Liquor Market (ALM),2025-10-16,NULL,1031,10013.24,0.00,0.00
15695,Australian Liquor Market (ALM),2025-10-16,NULL,72,223.36,0.00,0.00
237789295,Coca Cola Amatil Pty Ltd,2025-10-16,NULL,196,493.74,0.00,0.00
32W8MJ,Bexshaq International,2025-10-16,NULL,20736,38880.00,0.00,0.00
7508021846,HB CUB,2025-10-16,NULL,27048,54519.59,0.00,0.00
76286,Geo Sang Global Pty Ltd,2025-10-16,NULL,248,766.50,0.00,0.00
98S0SR,Liquor West,2025-10-16,NULL,240,500.00,0.00,0.00
cancel,Bexshaq International,2025-10-16,NULL,20736,38880.00,0.00,0.00
GU43DR,Liquor West,2025-10-16,NULL,720,1500.00,0.00,0.00
12659,Australian Liquor Market (ALM),2025-10-15,NULL,1620,7522.45,0.00,0.00
14301,Australian Liquor Market (ALM),2025-10-15,NULL,3272,5597.79,0.00,0.00
14302,Australian Liquor Market (ALM),2025-10-15,NULL,66,0.12,0.00,0.00
14303,Australian Liquor Market (ALM),2025-10-15,NULL,117,4778.58,0.00,0.00
14622,Australian Liquor Market (ALM),2025-10-15,NULL,6518,19476.23,0.00,0.00
14623,Australian Liquor Market (ALM),2025-10-15,NULL,66,0.12,0.00,0.00
15447,Australian Liquor Market (ALM),2025-10-15,NULL,1128,6212.83,0.00,0.00
15448,Australian Liquor Market (ALM),2025-10-15,NULL,48,337.90,0.00,0.00
15520,Australian Liquor Market (ALM),2025-10-15,NULL,997,4643.38,0.00,0.00
15521,Australian Liquor Market (ALM),2025-10-15,NULL,1875,8726.00,0.00,0.00
15522,Australian Liquor Market (ALM),2025-10-15,NULL,66,3.30,0.00,0.00
15523,Australian Liquor Market (ALM),2025-10-15,NULL,117,4792.24,0.00,0.00
15588,Australian Liquor Market (ALM),2025-10-15,NULL,6,320.76,0.00,0.00
15589,Australian Liquor Market (ALM),2025-10-15,NULL,108,547.13,0.00,0.00
15590,Australian Liquor Market (ALM),2025-10-15,NULL,4320,1355.50,0.00,0.00
156860,Tobacco Station East Keilor,2025-10-15,NULL,141,4226.02,0.00,0.00
15693-WH,Australian Liquor Market (ALM),2025-10-15,NULL,3744,7579.90,0.00,0.00
15694-WH,Australian Liquor Market (ALM),2025-10-15,NULL,1872,4221.04,0.00,0.00
179729,S&P Liquor,2025-10-15,NULL,8400,18018.00,0.00,0.00
179730,S&P Liquor,2025-10-15,NULL,54,367.09,0.00,0.00
237768926,Coca Cola Amatil,2025-10-15,NULL,222,593.95,0.00,0.00
