Outlet_Name,product_id,Product_Name,Revenue,COGS,Profit,MarginPct
Liquor West,11ef9fa9e8e311c4b1f30acdfb026a8f,Cruiser Longneck Thick Pineapple 600Ml,2694,3381.00,-1791.00,-66.48
Liquor West,11ef9fa9e8a77f428cd70acdfb026a8f,Cruiser Longneck Phat Guava 600Ml,3207,3869.25,-1738.25,-54.20
The Bottle-O St Albans,11ef9fa9e84a52c2872a0acdfb026a8f,Glenfiddich Small Batch Reserve 18Yo Single Malt 7,806,1555.56,-749.56,-93.00
Bottlemart Lara,11f0090ff890f954b65202d4f8f06bd1,Southern Comfort & Cola Can 375Ml 2*12Pk,162.750003814697,899.25,-736.50,-452.53
Bottlemart Lara,11ef9fa9e8c4abbc9a2a0acdfb026a8f,Clearance $2,774.990000009537,1251.94,-476.95,-61.54
Bottle O Endeavour Hills,11ef9fa9e89d8cb2be7b0acdfb026a8f,Laphroaig Select Cask Malt Whisky 700Ml,90.5,320.92,-230.42,-254.61
Bottlemart Armstrong Creek,11efc63c7f7c96f6bdf402636efe5b8f,Hahn Super Dry 4.6% Can 375ML 10pk*3,1216.64999198914,1430.98,-214.33,-17.62
The Bottle-O St Albans,11ef9fa9e8a73352bdce0acdfb026a8f,Grant Burge The Holy Trinity Gsm 750Ml,90,279.68,-189.68,-210.76
Bottlemart Lara,11ef9fa9e89d8cb2be7b0acdfb026a8f,Laphroaig Select Cask Malt Whisky 700Ml,99.9899978637695,284.50,-184.51,-184.53
Harry Brown Ferntree Gully,11ef9fa9e87f301eb0e40acdfb026a8f,"Penfolds Father 10 Yo Tawny 750Ml ",395.300010681152,560.77,-165.47,-41.86
Thirsty Camel Maribyrnong,11ef9fa9e8ed69d0a8120acdfb026a8f,Angels Envy Bourbon 750Ml,440,581.63,-141.63,-32.19
Bottlemart Ravenhall,11ef9fa9e893539682fb0acdfb026a8f,Winfield 25S Blue Original 8Pk,3456.57007217407,3594.69,-138.12,-4.00
Bottlemart Armstrong Creek,11ef9fa9e8f7a17086d10acdfb026a8f,Smirnoff Double Black Ice Cans 375mL (Passed Date),31.9799995422363,151.36,-119.38,-373.30
Thirsty Camel Maribyrnong,11ef9fa9e89d69f881730acdfb026a8f,Glenmorangie Signet 700Ml 4Pk,335,451.13,-116.13,-34.67
Bottlemart Ravenhall,11ef9fa9e8baf46e8e9e0acdfb026a8f,Glayva Scotch Liqueur 500Ml,175.990001678467,283.80,-107.81,-61.26
Harry Brown Ferntree Gully,11ef9fa9e84a3bac9a340acdfb026a8f,Dom Benedictine 700Ml Bottle,22,124.70,-102.70,-466.82
The Bottle-O St Albans,11ef9fa9e8892d9ebd020acdfb026a8f,Jps 25G Red Ryo 10Pk,324,425.97,-101.97,-31.47
The Bottle-O St Albans,11efc62ff0afeaec8c53063ecfd41111,Remy Martin XO EOY 24 GB 700ML,2288,2388.87,-100.87,-4.41
Bottlemart Lara,11f0a5396f53d8989b7b0aca86935c09,Kirin Hyoketsu Lemon 4% Can 330ml 3x10pk,39.9900016784668,140.32,-100.33,-250.89
Thirsty Camel Braybrook,11ef9fa9e89d1d54a0db0acdfb026a8f,Penfolds Maxs Shiraz Cabernet 750Ml,477.979999542236,564.69,-86.71,-18.14
Bottlemart Armstrong Creek,11efa162a8ce41d4a55806fb1ac4ad25,Wild Turkey 101 Proof Vap 700ml 6pk,354.949989318848,435.33,-80.38,-22.65
Liquor West,11ef9fa9e8ecc9bca77a0acdfb026a8f,The Drover Moscato 750M 12Pk,90,168.00,-78.00,-86.67
The Bottle-O St Albans,11ef9fa9e8a7300a8c830acdfb026a8f,Grant Burge Filsell Shiraz 750Ml,160,234.81,-74.81,-46.76
Harry Brown Ferntree Gully,11f024d3d01e2caa82820220f33ba86d,Lindeman's Early Harvest Pinot Grigio 750ml,69.3000011444092,137.68,-68.38,-98.67
Bottlemart Lara,11efa176d4824028a97602834053f17d,Hennessy VSOP Lebron James 700mL,547.979995727539,615.44,-67.46,-12.31
