product_id,product_name,cheapest_branch,most_exp_branch
4917,100 Pipers Blended Scotch Whiskey 12Yo 700Ml 12Pk,Liquor West ($),The Bottle-O St Albans ($69.00)
12358,100 Pipers Deluxe Scotch Whisky,Bottlemart Charlemont Rise ($),The Bottle-O St Albans ($65.00)
9954,11 Minutes Rose' Pasqua 2017 750Ml,Liquor West ($),Bottlemart Armstrong Creek ($13.00)
3851,148 Browns Road Brut 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($19.00)
3885,148 Browns Road Chardonnay 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($15.00)
5023,148 Browns Road Merlot 750Ml,Bottlemart Charlemont Rise ($),Liquor West ($16.00)
3887,148 Browns Road Pinot Grigio 750ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($15.00)
3889,148 Browns Road Reserve Chardonnay 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($23.00)
5024,148 Browns Road Reserve Pinot Noir 750Ml,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($32.00)
5025,148 Browns Road Shiraz 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($17.00)
4857,1495 Blended Scotch Whisky 700Ml,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($37.00)
7626,151 East Vodka 700Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($21.00)
6685,16 Shots Bucket Little Fat Lamb 30ml 16x6pk,Bottle O Endeavour Hills ($),The Bottle-O St Albans ($135.00)
2466,1800 Anejo Tequila 700Ml,Bottle O Endeavour Hills ($),Liquor West ($282.00)
7855,1800 Coconut Tequila Liqueur 700Ml,Bottle O Endeavour Hills ($),Liquor West ($660.00)
578,1800 Reposado Tequila 700Ml,Liquor West ($),Bottlemart Charlemont Rise ($89.99)
1976,1800 Silver Tequila 700Ml,Liquor West ($),Thirsty Camel Maribyrnong ($85.00)
3867,19 Crimes Blanc De Blanc 750Ml,Bottle O Endeavour Hills ($),Bottlemart Charlemont Rise ($59.99)
1815,19 Crimes Cabernet Sauvignon 750Ml,Bottle O Endeavour Hills ($),Bottlemart Charlemont Rise ($59.99)
12689,19 Crimes Cali Gold Sparkling 750Ml,Liquor West ($),Harry Brown Ferntree Gully ($19.00)
11f07cbd4185bbb0a0180af160df8dfb,19 Crimes Cali Smooth Red 750Ml,Bottle O Endeavour Hills ($),Liquor West ($63.00)
11f092a8e48609ae97490259737d05d9,19 Crimes Halloween Shiraz 750Ml,Bottle O Endeavour Hills ($),The Bottle-O St Albans ($14.00)
1811,19 Crimes Hard Chard 750Ml,Bottle O Endeavour Hills ($),Bottlemart Charlemont Rise ($59.99)
11f082bf514c54d4b3bf06c2657d4d9f,19 Crimes Hard Chardonnay Halloween Edition 750mL,Bottle O Endeavour Hills ($),The Bottle-O St Albans ($12.00)
1810,19 Crimes Malbec 750Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($17.00)
11f0976c8323b986b1bb068dc02be083,19 Crimes Pinot Grigio 750mL,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($14.99)
1813,19 Crimes Pinot Noir 750Ml,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($64.99)
5026,19 Crimes Red Blend 750Ml,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($59.99)
5027,19 Crimes Sangiovese 750Ml,Bottle O Endeavour Hills ($),Bottlemart Lara ($59.99)
1814,19 Crimes Sauv Block 750Ml,Bottle O Endeavour Hills ($),Bottlemart Charlemont Rise ($59.99)
1812,19 Crimes Shiraz 750Ml,Bottle O Endeavour Hills ($),Bottlemart Charlemont Rise ($59.99)
2155,19 Crimes Snoop Cali Red 750Ml,Bottle O Endeavour Hills ($),Liquor West ($66.00)
4486,19 Crimes Snoop Cali Rose 750Ml,Bottle O Endeavour Hills ($),Liquor West ($63.00)
2571,19 Crimes Tempranillo Bt,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($17.00)
2570,19 Crimes Uprising Red Bt,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($18.00)
12507,-196 Can Cooler Sleeve Iba Bns,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($110.00)
8401,-196 Grape (Rp),Liquor West ($),Bottle O Endeavour Hills ($124.00)
12550,2 Monkeys Cabernet Merlot 750Ml,Bottle O Endeavour Hills ($),Liquor West ($34.00)
1530,2 Monkeys Chardonnay 750Ml,Bottle O Endeavour Hills ($),Liquor West ($34.00)
1527,2 Monkeys Merlot 750Ml 12Pk,Bottle O Endeavour Hills ($),Liquor West ($36.00)
1528,2 Monkeys Moscato 750Ml 12Pk,Bottle O Endeavour Hills ($),Liquor West ($34.00)
1533,2 Monkeys Pink Moscato 750Ml 12Pk,Bottle O Endeavour Hills ($),Liquor West ($34.00)
14117,2 Monkeys Pinot Grigio 750Ml,Bottle O Endeavour Hills ($),Bottlemart Charlemont Rise ($6.99)
14116,2 Monkeys Sauv Blanc 750Ml,Bottle O Endeavour Hills ($),Liquor West ($34.00)
1598,2 Monkeys Sem Sauv Blanc 750Ml 12Pk,Bottle O Endeavour Hills ($),Liquor West ($34.00)
1529,2 Monkeys Shiraz 750Ml,Bottle O Endeavour Hills ($),Liquor West ($34.00)
1718,23rd St Mixed Gift Box,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($63.00)
6986,23rd St Rose Vodka 300Ml,Bottle O Endeavour Hills ($),Bottle O Endeavour Hills ($88.00)
5273,23rd St Signature Gin 700Ml,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($84.00)
6987,23rd Street Gin & Tonic 300Ml,Bottle O Endeavour Hills ($),Bottlemart Lara ($119.99)
15301,23rd Street Gin & Tonic No Sugar Cans 300Ml (Rp),Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($138.00)
11efb02353bedfa8b2750ae2611d356d,23rd Street Gin & Tonic No Sugar Cans 300Ml (Rp),Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($138.00)
9929,23rd Street Signature Gin&Tonic Non Alc Can 4X300ml,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($138.00)
15302,23rd Street Tropical Gin & Soda Can 300Ml (Rp),Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($138.00)
11efb02353705dd8ace20ae2611d356d,23rd Vodka & Soda 300Ml,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($82.00)
6988,23rd Vodka & Soda 300Ml,Bottle O Endeavour Hills ($),Bottle O Endeavour Hills ($82.00)
14254,24 Ice Mixed Pack 5X65ml,Bottle O Endeavour Hills ($),Thirsty Camel Braybrook ($79.99)
7142,28 Shots Bucket Little Fat Lamb 30ml 28x4pk,Bottle O Endeavour Hills ($),The Bottle-O St Albans ($210.00)
3853,3 Horses 500 Can,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($62.00)
7860,3 Ravens Cola Creamsicle 375Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($51.00)
12463,3 Ravens Juicy Hazy Midstrength Can 24Pk,Bottle O Endeavour Hills ($),Bottlemart Ravenhall ($99.99)
7678,3 Ravens Juicy Ipa Can 375Ml 24Pk,Bottle O Endeavour Hills ($),Bottlemart Lara ($82.00)
12444,3 Ravens Lil Juicy Pale Ale Can 375Ml,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($111.00)
8631,3 Ravens Milshake Peaches & Cream,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($82.00)
7277,3 Ravens Nevermore Fresh Roast Brown Ale,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($82.00)
7861,3 Ravens New World Ipa Can 375Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($82.00)
12850,3 Ravens Passionfruit Creamsid,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($111.00)
12493,3 Ravens Pineapple Sour,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($82.00)
11f02661f265d0bc86dc065a44edc49f,3 RAVENS RUCKERS P/ALE 375ML,Bottle O Endeavour Hills ($),Harry Brown Ferntree Gully ($15.00)
14835,3 Rings Vodka 700Ml,Bottlemart Armstrong Creek ($),Bottle O Endeavour Hills ($160.00)
2698,3 Tales Sauv Blanc Bt,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($17.00)
3891,30 Mile Sauvignon Blanc 750ml,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($10.00)
14827,3099 Chili Jerky 50G,Bottle O Endeavour Hills ($),Liquor West ($30.00)
14831,3099 Garlic Jerky 50G,Bottle O Endeavour Hills ($),Liquor West ($30.00)
14832,3099 Original Jerky 50G,Bottle O Endeavour Hills ($),Liquor West ($30.00)
14828,3099 Salt & Vinegar Jerky 50G,Bottle O Endeavour Hills ($),Liquor West ($32.50)
14829,3099 Smoky Bbq Jerky 50G,Bottle O Endeavour Hills ($),Liquor West ($30.00)
14830,3099 Teriyaki Jerky 50g,Bottle O Endeavour Hills ($),Liquor West ($30.00)
14659,333 Beer Loose Bottle 330mL,Liquor West ($),Bottlemart Charlemont Rise ($74.99)
14993,4 Pines Aussie Wheat Ale Can 375Ml 18Pk,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($94.50)
7278,4 Pines Freshy Ale Bottles 330Ml,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($64.00)
2642,4 Pines Galactic Xpa Cn,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($98.00)
14637,4 Pines Hazy Pale Ale Can (Rp),Bottle O Endeavour Hills ($),Bottle O Endeavour Hills ($94.50)
11efb02353ac6a08aba40ae2611d356d,4 Pines Hazy Pale Ale Can (Rp),Bottle O Endeavour Hills ($),Bottlemart Ravenhall ($91.00)
7279,4 Pines Hazy Pale Ale Can 375Ml,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($94.50)
11f02661f261465ab504065a44edc49f,4 Pines Japan Lager Can 375ML 18pk,Bottle O Endeavour Hills ($),Thirsty Camel Braybrook ($55.00)
1535,4 Pines Kolsch Bt,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($72.00)
1534,4 Pines Pacific Ale Bottle 330ml,Bottle O Endeavour Hills ($),Bottlemart Charlemont Rise ($69.99)
7281,4 Pines Pacific Ale Can 375Ml,Bottle O Endeavour Hills ($),Bottlemart Charlemont Rise ($89.99)
11efe448403c5600b6f302fc11652ce3,4 Pines Pale Ale 5.1% 375ml Can,Bottle O Endeavour Hills ($),The Bottle-O St Albans ($60.00)
1243,4 Pines Pale Ale Bt 330Ml,Liquor West ($),Bottlemart Charlemont Rise ($84.99)
11efb023538dc454a1ef0ae2611d356d,4 Pines Pale Ale Can (Rp),Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($82.00)
8403,4 Pines Pale Ale Can (Rp),Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($82.00)
8040,4 Pines Pale Ale Can 375Ml 18Pk,Bottle O Endeavour Hills ($),Bottlemart Lara ($99.99)
1240,4 Pines Summer Ale,Bottlemart Charlemont Rise ($),Bottle O Endeavour Hills ($78.00)
11efb023538e223c8b430ae2611d356d,4 Pines Summer Can 375Ml 24Pk,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($6.00)
8700,4 Pines Summer Can 375Ml 24Pk,Bottle O Endeavour Hills ($),Bottle O Endeavour Hills ($6.00)
7283,4 Pines Ultra Low Bottle,Bottle O Endeavour Hills ($),Bottlemart Armstrong Creek ($51.00)
5346,42 Below Vdk Manuk Hny 700Ml,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($56.00)
8495,42 Below Vodka 1L,Bottlemart Charlemont Rise ($),Bottlemart Armstrong Creek ($58.00)
5558,42 Below Vodka 700Ml 6Pk,Bottle O Endeavour Hills ($),Thirsty Camel Braybrook ($62.00)
8381,42 Degree South Pinot Noir 750Ml,Liquor West ($),Harry Brown Ferntree Gully ($27.99)
