CATEGORY,SUBCATEGORY,revenue,units,profit,margin_pct
Copiers,Canon imageCLASS 2200 Advanced Copier,61599.83,20,25199.94,40.91
Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.38,31,7753.03,28.24
Machines,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,6,-1811.08,-8.00
Chairs,HON 5400 Series Task Chairs for Big and Tall,21870.57,39,0.00,0.00
Binders,GBC DocuBind TL300 Electric Binding System,19823.47,37,2233.50,11.27
Binders,GBC Ibimaster 500 Manual ProClick Binding System,19024.50,48,760.98,4.00
Copiers,Hewlett Packard LaserJet 3310 Copier,18839.68,38,6983.89,37.07
Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.90,12,4094.98,22.29
Binders,GBC DocuBind P400 Electric Binding System,17965.07,27,-1878.17,-10.45
Supplies,High Speed Automatic Electric Letter Opener,17030.31,11,-262.00,-1.54
Machines,Lexmark MX611dhe Monochrome Laser Printer,16829.90,18,-4589.97,-27.27
Supplies,Martin Yale Chadless Opener Electric Letter Opener,16656.21,22,-1299.19,-7.80
Binders,Ibico EPK-21 Electric Binding System,15875.92,13,3345.29,21.07
Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.97,24,-669.53,-4.29
Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,11,3717.97,26.00
Phones,Samsung Galaxy Mega 6.3,13943.67,39,1822.75,13.07
Accessories,Logitech G19 Programmable Gaming Keyboard,13756.54,60,4425.32,32.17
Phones,Apple iPhone 5,12996.60,24,1611.58,12.40
Tables,Bretford Rectangular Conference Table Tops,12995.28,46,-327.25,-2.52
Chairs,Global Troy Executive Leather Low-Back Tilter,12975.39,32,951.87,7.34
Bookcases,DMI Eclipse Executive Suite Bookcases,12921.64,42,19.67,0.15
Copiers,Canon PC1060 Personal Laser Copier,11619.83,19,4570.94,39.34
Chairs,SAFCO Arco Folding Chair,11572.78,53,1179.37,10.19
Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for 17 x 22 Room,11304.44,40,3247.02,28.72
Accessories,Logitech P710e Mobile Speakerphone,11203.76,75,1987.95,17.74
Machines,Cubify CubeX 3D Printer Double Head Print,11099.95,9,-8879.97,-80.00
Storage,Tennsco 6- and 18-Compartment Lockers,10925.00,43,1575.09,14.42
Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,10822.36,35,3085.04,28.51
Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.53,51,1927.45,18.12
Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9917.64,27,-2876.11,-29.00
Storage,Tennsco Double-Tier Lockers,9630.86,47,429.80,4.46
Tables,Bush Advantage Collection Racetrack Conference Table,9544.72,33,-1934.40,-20.27
Machines,Bady BDG101FRU Card Printer,9279.89,14,1327.99,14.31
Storage,Tennsco Single-Tier Lockers,9158.29,28,-825.76,-9.02
Chairs,GuestStacker Chair with Chrome Finish Legs,9070.93,31,773.25,8.52
Copiers,Canon Imageclass D680 Copier / Fax,8959.87,16,2799.96,31.25
Copiers,Hewlett Packard 610 Color Digital Copier / Printer,8899.82,21,3124.93,35.11
Phones,Wilson Electronics DB Pro Signal Booster,8878.40,32,515.52,5.81
Chairs,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,8774.50,28,1305.66,14.88
Chairs,Global Deluxe High-Back Managers Chair,8665.21,35,1558.59,17.99
Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,8431.00,34,1388.65,16.47
Tables,Chromcraft Round Conference Tables,8209.07,61,-189.99,-2.31
Storage,"Hot File 7-Pocket, Floor Stand",8138.24,49,2016.69,24.78
Phones,Cisco Unified IP Phone 7945G VoIP phone,8111.15,34,275.34,3.39
Binders,Fellowes PB300 Plastic Comb Binding Machine,8070.20,27,2518.06,31.20
Machines,Cubify CubeX 3D Printer Triple Head Print,7999.98,4,-3839.99,-48.00
Binders,Ibico Ibimaster 300 Manual Binding System,7985.37,28,2318.33,29.03
Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,7979.43,33,926.19,11.61
Machines,Okidata MB760 Printer,7834.40,7,881.37,11.25
Storage,Adjustable Depth Letter/Legal Cart,7730.19,45,1932.54,25.00
Machines,Ativa V4110MDD Micro-Cut Shredder,7699.89,11,3772.95,49.00
Phones,Mitel MiVoice 5330e IP Phone,7699.73,34,780.96,10.14
Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,7582.38,24,833.00,10.99
Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7539.71,35,780.32,10.35
Storage,Tennsco 16-Compartment Lockers with Coat Rack,7515.52,13,1114.37,14.83
Phones,Samsung Galaxy Note 2,7437.88,30,353.79,4.76
Tables,Hon 94000 Series Round Tables,7404.49,30,-681.22,-9.20
Accessories,Logitech diNovo Edge Keyboard,7399.70,31,1432.45,19.36
Tables,Bretford CR4500 Series Slim Rectangular Table,7242.77,29,-532.76,-7.36
Phones,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),7139.80,28,83.99,1.18
Machines,Zebra ZM400 Thermal Label Printer,6965.70,6,3343.53,48.00
Tables,"Bevis Oval Conference Table, Walnut",6942.07,36,-856.02,-12.33
Chairs,Hon GuestStacker Chair,6936.11,34,1233.07,17.78
Phones,ClearOne CHATAttach 160 - speaker phone,6935.87,16,1056.39,15.23
Appliances,Hoover Upright Vacuum With Dirt Cup,6832.91,31,460.35,6.74
Storage,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",6819.31,25,181.67,2.66
Binders,GBC DocuBind 300 Electric Binding Machine,6785.14,23,494.42,7.29
