STATE,CITY,orders,revenue,profit
New York,New York City,425,210927.04,41892.69
California,Los Angeles,357,141770.75,11533.79
Pennsylvania,Philadelphia,286,130921.15,12376.51
Washington,Seattle,187,108638.21,19979.84
California,San Francisco,249,107084.05,17141.75
Texas,Houston,180,87156.51,13279.49
Illinois,Chicago,160,61351.31,5433.29
California,San Diego,80,39816.46,7572.98
Texas,Dallas,81,29636.56,3969.00
Arizona,Phoenix,34,26920.08,3635.33
North Carolina,Monroe,10,25347.01,-1867.63
Georgia,Columbus,54,21731.41,4067.47
Minnesota,Minneapolis,29,21488.90,2672.40
Michigan,Detroit,40,19904.99,2084.57
Texas,San Antonio,22,18480.66,-653.01
Mississippi,Jackson,27,16690.56,98.80
New York,Auburn,17,16685.79,6983.94
Illinois,Aurora,39,16600.13,1213.74
North Carolina,Burlington,15,16380.93,-2354.42
Wisconsin,Milwaukee,20,15873.41,2765.57
California,Concord,9,14142.34,5757.42
Delaware,Dover,22,14135.14,1764.70
North Carolina,Charlotte,36,13736.67,1949.89
Virginia,Springfield,14,13344.70,1292.86
Minnesota,Rochester,31,13205.58,2147.26
New York,Watertown,18,12764.16,1674.27
Arizona,Tucson,28,12727.01,1268.72
North Carolina,Fayetteville,7,12694.47,2133.32
Colorado,Aurora,41,12645.79,240.80
Washington,Vancouver,14,12245.04,2668.53
California,Mission Viejo,16,11895.00,315.69
Pennsylvania,Chester,20,11680.88,1196.46
Arizona,Gilbert,10,11517.79,-232.52
Florida,Jacksonville,30,11404.10,1184.89
Connecticut,Norwich,20,11285.86,1631.39
California,Huntington Beach,8,11164.97,858.75
Tennessee,Columbia,22,11101.51,1951.63
California,Fresno,14,11054.35,1241.03
Iowa,Urbandale,12,10880.56,1933.78
Massachusetts,Lawrence,24,10782.44,1880.58
Ohio,Columbus,53,10672.26,489.96
California,Manteca,7,10604.26,1660.12
Massachusetts,Franklin,13,10586.99,2770.32
Tennessee,Memphis,20,10576.28,-1040.82
California,Roseville,15,10535.76,2264.13
Rhode Island,Providence,22,10475.44,1734.59
Arizona,Scottsdale,18,10412.47,1786.12
Louisiana,Monroe,18,10360.04,1312.88
Arizona,Mesa,22,10067.18,2111.47
Kentucky,Richmond,24,10045.11,2390.99
Indiana,La Porte,26,9881.40,1906.15
California,Pasadena,19,9338.58,644.99
Georgia,Atlanta,4,8954.01,3899.91
Colorado,Louisville,16,8863.17,-1818.68
Colorado,Broomfield,10,8697.86,1262.28
Michigan,Taylor,11,8673.23,2059.12
Wisconsin,Madison,12,8646.93,2038.26
Georgia,Roswell,30,8556.12,2392.53
North Carolina,Jacksonville,27,8263.49,-1867.79
Oregon,Salem,13,8025.70,-1032.13
Michigan,Saginaw,6,7954.99,-644.71
Illinois,Peoria,21,7922.78,2005.79
California,Long Beach,19,7768.34,1216.52
Virginia,Arlington,30,7729.91,561.91
Ohio,Cincinnati,36,7700.04,1172.95
New York,Jamestown,7,7625.07,1574.61
Arizona,Glendale,15,7407.89,742.53
Indiana,Columbus,31,7405.05,477.44
Minnesota,Saint Paul,12,7354.13,907.95
Wisconsin,Green Bay,14,7299.75,1444.13
Georgia,Smyrna,10,7252.61,1495.11
Oregon,Tigard,7,7234.02,1023.13
Utah,Murray,11,7198.77,333.37
Colorado,Denver,20,7123.48,145.76
Ohio,Newark,12,6590.00,236.36
Delaware,Wilmington,15,6540.22,1455.05
North Carolina,Wilmington,18,6521.21,1510.86
California,Hesperia,9,6497.28,1448.56
Wisconsin,Kenosha,13,6452.87,1532.27
New Hampshire,Concord,6,6411.00,885.46
Colorado,Pueblo,13,6361.71,388.07
California,Encinitas,7,6345.09,1677.41
Alabama,Montgomery,8,6234.91,488.15
