ym,revenue,units,profit
2014-01,14236.90,284,2450.17
2014-02,4519.92,159,862.30
2014-03,55691.04,585,498.72
2014-04,28295.35,536,3488.85
2014-05,23648.26,466,2738.72
2014-06,34595.12,521,4976.55
2014-07,33946.37,550,-841.47
2014-08,27909.47,609,5318.08
2014-09,81777.32,1000,8328.04
2014-10,31453.37,573,3448.20
2014-11,78628.73,1219,9292.14
2014-12,69545.63,1079,8983.57
2015-01,18174.08,236,-3280.97
2015-02,11951.40,239,2813.83
2015-03,38726.26,515,9732.06
2015-04,34195.25,543,4187.52
2015-05,30131.72,575,4667.83
2015-06,24797.30,486,3335.54
2015-07,28765.32,557,3288.65
2015-08,36898.31,598,5355.82
2015-09,64595.87,1086,8209.16
2015-10,31404.90,631,2817.36
2015-11,75972.50,1310,12474.75
2015-12,74919.52,1203,8016.88
2016-01,18542.52,358,2824.80
2016-02,22978.82,306,5004.58
2016-03,51715.86,579,3611.96
2016-04,38750.03,635,2977.84
2016-05,56987.74,863,8662.08
2016-06,40344.52,742,4750.31
2016-07,39261.99,758,4432.84
2016-08,31115.35,693,2062.05
2016-09,73410.08,1316,9328.60
2016-10,59687.77,767,16243.20
2016-11,79412.00,1406,4011.42
2016-12,96999.06,1414,17885.27
2017-01,43971.37,597,7140.46
2017-02,20301.12,363,1613.88
2017-03,58872.35,885,14751.85
2017-04,36521.52,733,933.27
2017-05,44261.08,887,6342.62
2017-06,52981.71,931,8223.37
2017-07,45264.43,840,6952.60
2017-08,63120.85,884,9041.06
2017-09,87866.65,1660,10991.49
2017-10,77776.93,1133,9275.31
2017-11,118447.79,1840,9690.08
2017-12,83829.31,1723,8903.32
