product_name,STATE,revenue,profit,margin_pct
Technology,North Carolina,64496.12,-7257.94,-11.25
Office Supplies,Florida,16435.05,-1884.51,-11.47
Office Supplies,Oregon,3183.63,-1872.01,-58.80
Furniture,Illinois,34248.44,-1805.84,-5.27
Technology,Colorado,16489.46,-1780.99,-10.80
Technology,Mississippi,7579.24,-913.18,-12.05
Furniture,Connecticut,5669.16,-596.68,-10.53
Furniture,Virginia,14806.35,-514.54,-3.48
Furniture,New Jersey,4668.38,-501.82,-10.75
Furniture,Indiana,9143.45,-388.52,-4.25
Office Supplies,Alabama,8067.91,-374.38,-4.64
Furniture,Utah,9389.09,-181.60,-1.93
Furniture,Nebraska,1713.35,-161.46,-9.42
Furniture,Arkansas,2142.35,-36.99,-1.73
Office Supplies,Arkansas,2330.24,-36.32,-1.56
Furniture,Pennsylvania,45654.44,-4.64,-0.01
Technology,Arkansas,109.98,10.34,9.40
Furniture,South Dakota,212.42,18.76,8.83
Technology,Maryland,241.23,19.46,8.07
Furniture,Massachusetts,10096.02,42.57,0.42
Office Supplies,Kansas,1110.75,48.66,4.38
Furniture,New Hampshire,1332.12,54.63,4.10
Furniture,Ohio,23928.21,65.63,0.27
Office Supplies,Connecticut,9017.54,85.44,0.95
Furniture,Oklahoma,2420.28,153.35,6.34
Office Supplies,Louisiana,6457.55,175.34,2.72
Furniture,Rhode Island,2402.76,226.36,9.42
Furniture,Tennessee,15335.08,271.50,1.77
Furniture,Mississippi,7332.85,353.84,4.83
Furniture,Missouri,4119.16,373.85,9.08
Furniture,Colorado,23955.09,481.41,2.01
Furniture,Kentucky,8402.76,497.72,5.92
Furniture,North Carolina,21333.51,549.34,2.58
Furniture,Arizona,31753.36,563.53,1.77
Furniture,Michigan,27946.24,573.68,2.05
Office Supplies,Tennessee,10680.37,584.75,5.47
Furniture,Alabama,9065.62,586.45,6.47
Furniture,Florida,17635.56,599.43,3.40
Furniture,Washington,47445.12,1043.54,2.20
Furniture,Wisconsin,12168.43,1089.20,8.95
Furniture,Texas,60788.84,1190.01,1.96
Furniture,New York,65846.00,1548.14,2.35
Technology,Ohio,20265.78,1616.94,7.98
Office Supplies,North Carolina,30805.85,2471.93,8.02
Furniture,California,158642.89,4520.36,2.85
