yrqtr,CATEGORY,revenue
2014-Q1,Accessories,3057.81
2014-Q1,Appliances,905.46
2014-Q1,Art,663.94
2014-Q1,Binders,2679.47
2014-Q1,Bookcases,2716.51
2014-Q1,Chairs,10091.31
2014-Q1,Envelopes,547.56
2014-Q1,Fasteners,97.65
2014-Q1,Furnishings,1584.88
2014-Q1,Labels,255.21
2014-Q1,Machines,25314.66
2014-Q1,Paper,1580.83
2014-Q1,Phones,8890.50
2014-Q1,Storage,7541.36
2014-Q1,Supplies,257.24
2014-Q1,Tables,8263.47
2014-Q2,Accessories,3908.51
2014-Q2,Appliances,3726.43
2014-Q2,Art,1542.26
2014-Q2,Binders,9633.87
2014-Q2,Bookcases,1708.71
2014-Q2,Chairs,13341.76
2014-Q2,Copiers,2999.93
2014-Q2,Envelopes,718.10
2014-Q2,Fasteners,159.54
2014-Q2,Furnishings,2196.95
2014-Q2,Labels,744.16
2014-Q2,Machines,979.73
2014-Q2,Paper,2194.74
2014-Q2,Phones,19343.08
2014-Q2,Storage,8242.44
2014-Q2,Supplies,4282.23
2014-Q2,Tables,10816.29
2014-Q3,Accessories,7705.99
2014-Q3,Appliances,4591.77
2014-Q3,Art,1219.57
2014-Q3,Binders,19929.45
2014-Q3,Bookcases,4676.42
2014-Q3,Chairs,22804.37
2014-Q3,Copiers,4109.93
2014-Q3,Envelopes,721.56
2014-Q3,Fasteners,205.70
2014-Q3,Furnishings,4861.34
2014-Q3,Labels,617.70
2014-Q3,Machines,22420.28
2014-Q3,Paper,4259.06
2014-Q3,Phones,13515.17
2014-Q3,Storage,13585.67
2014-Q3,Supplies,8793.42
2014-Q3,Tables,9615.76
2014-Q4,Accessories,10341.96
2014-Q4,Appliances,6089.99
2014-Q4,Art,2632.23
2014-Q4,Binders,11245.44
2014-Q4,Bookcases,10935.05
2014-Q4,Chairs,31004.10
2014-Q4,Copiers,3739.93
2014-Q4,Envelopes,1868.51
2014-Q4,Fasteners,198.42
2014-Q4,Furnishings,5183.07
2014-Q4,Labels,1224.32
2014-Q4,Machines,13308.70
2014-Q4,Paper,6800.37
2014-Q4,Phones,35642.07
2014-Q4,Storage,20959.57
2014-Q4,Supplies,1061.16
2014-Q4,Tables,17392.84
2015-Q1,Accessories,3149.72
2015-Q1,Appliances,2119.80
2015-Q1,Art,700.20
2015-Q1,Binders,11269.45
2015-Q1,Bookcases,4714.20
2015-Q1,Chairs,9446.91
2015-Q1,Copiers,4269.91
2015-Q1,Envelopes,597.35
2015-Q1,Fasteners,74.23
2015-Q1,Furnishings,2912.17
2015-Q1,Labels,781.72
2015-Q1,Machines,3107.98
2015-Q1,Paper,2316.83
2015-Q1,Phones,7890.64
2015-Q1,Storage,5077.50
2015-Q1,Supplies,122.32
2015-Q1,Tables,10300.81
2015-Q2,Accessories,4600.24
2015-Q2,Appliances,6610.74
2015-Q2,Art,1567.86
2015-Q2,Binders,11218.16
2015-Q2,Bookcases,3275.47
2015-Q2,Chairs,13891.46
2015-Q2,Copiers,6379.83
2015-Q2,Envelopes,841.78
2015-Q2,Fasteners,72.28
2015-Q2,Furnishings,7022.31
2015-Q2,Labels,423.48
2015-Q2,Machines,4824.76
2015-Q2,Paper,2432.79
2015-Q2,Phones,13434.50
2015-Q2,Storage,8621.94
2015-Q2,Supplies,531.06
2015-Q2,Tables,3375.61
2015-Q3,Accessories,11973.90
2015-Q3,Appliances,3321.58
2015-Q3,Art,1756.81
2015-Q3,Binders,6295.61
2015-Q3,Bookcases,17350.55
2015-Q3,Chairs,18272.50
2015-Q3,Copiers,5119.90
2015-Q3,Envelopes,1180.73
2015-Q3,Fasteners,136.42
2015-Q3,Furnishings,4457.98
2015-Q3,Labels,676.59
2015-Q3,Machines,4973.28
2015-Q3,Paper,4028.16
2015-Q3,Phones,22845.63
2015-Q3,Storage,17307.24
2015-Q3,Supplies,1057.62
2015-Q3,Tables,9505.00
