product_name,subcategory,category,units,revenue,profit
Technology,Canon imageCLASS 2200 Advanced Copier,Copiers,7,21699.94,8959.98
Technology,Cubify CubeX 3D Printer Triple Head Print,Machines,4,7999.98,-3839.99
Office Supplies,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Binders,11,6609.15,-381.30
Technology,"3D Systems Cube Printer, 2nd Generation, Magenta",Machines,4,5199.96,1351.99
Office Supplies,Adjustable Depth Letter/Legal Cart,Storage,25,4318.75,1097.83
Technology,Hewlett Packard LaserJet 3310 Copier,Copiers,6,2879.95,1007.98
Office Supplies,Tennsco Double-Tier Lockers,Storage,14,2835.25,94.51
Furniture,Hon 94000 Series Round Tables,Tables,9,2665.62,239.91
Furniture,Hon 5100 Series Wood Tables,Tables,10,2560.62,174.58
Office Supplies,Hoover Shoulder Vac Commercial Portable Vacuum,Appliances,7,2504.74,626.18
Furniture,Hon GuestStacker Chair,Chairs,12,2493.37,480.54
Technology,ClearOne CHATAttach 160 - speaker phone,Phones,4,2479.96,743.99
Furniture,Global Troy Executive Leather Low-Back Tilter,Chairs,6,2404.70,150.29
Technology,Polycom CX600 IP Phone VoIP phone,Phones,8,2399.60,647.89
Furniture,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Tables,7,2314.12,-1002.78
Technology,Logitech diNovo Edge Keyboard,Accessories,9,2249.91,517.48
Furniture,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",Bookcases,5,2154.90,129.29
Office Supplies,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Appliances,18,2091.18,559.27
Furniture,SAFCO Arco Folding Chair,Chairs,8,2071.50,502.68
Furniture,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Tables,12,2065.32,-619.60
